0.60206 -0.914778
0.69897 -0.783579
0.778151 -0.7157
0.845098 -0.692269
0.90309 -0.681314
0.954243 -0.67904
1 -0.657167
1.04139 -0.629603
1.07918 -0.608834
1.11394 -0.583319
1.17609 -0.539452
1.20412 -0.507611
1.23045 -0.49102
1.27875 -0.436539
1.32222 -0.376931
1.36173 -0.326577
1.39794 -0.279593
1.43136 -0.203543
1.4624 -0.176078
1.50515 -0.118635
1.54407 -0.0552042
1.57978 0.00399247
1.61278 0.0312855
1.65321 0.144759
1.6902 0.20648
1.73239 0.256051
1.77085 0.330766
1.80618 0.340125
1.8451 0.456147
1.88081 0.547326
1.91908 0.570384
1.95904 0.641201
1.99564 0.61922
2.03342 0.765414
2.06819 0.790015
2.10721 0.86235
2.14613 0.906502
2.18184 0.925516
2.22011 0.998828
2.25768 1.04019
2.29447 1.07671
2.33244 1.08077
2.37107 1.11934
2.40824 1.1188
2.4456 1.11577
2.48287 1.14184
2.52114 1.13212
2.55871 1.1243
2.5966 1.13405
2.63448 1.13621
2.6721 1.15031
2.70927 1.13356
2.74663 1.14293
2.78462 1.17857
2.82217 1.17105
2.85974 1.1714
2.89763 1.17016
2.935 1.17833
2.97267 1.18511
3.0103 1.19823
